,Header,Summary,Detail,Link,Category,CreationDate,Pic_url
0,'Ask Shoaib Malik’: Sania Mirza shuts down personal question from journalist,Tennis star was asked how she handles being a mother and a professional athlete,,https://tribune.com.pk/story/2416611/ask-shoaib-malik-sania-mirza-shuts-down-personal-question-from-journalist,sports,2023-05-13,
1,Saim Ayub’s inclusion will strengthen Pakistan Shaheens’ squad: Aizaz Cheema,"Shaheens’ head coach, Aizaz Cheema, seems to be confident about the inclusion of Saim Ayub",,https://tribune.com.pk/story/2416610/saim-ayubs-inclusion-will-strengthen-pakistan-shaheens-squad-aizaz-cheema,sports,2023-05-13,
2,Shaheen is tougher to play than Starc or Boult: Fakhar Zaman,"Left-handed opener, Fakhar, stated that Rizwan and Babar Azam have set high standards",,https://tribune.com.pk/story/2416605/shaheen-is-tougher-to-play-than-starc-or-boult-fakhar-zaman,sports,2023-05-13,
3,Next President of Asian Cricket Council will be from Pakistan: Sethi,"ACC is incomplete without Pakistan, and we don't want to leave it - says the PCB chair",,https://tribune.com.pk/story/2416604/next-president-of-asian-cricket-council-will-be-from-pakistan-sethi,sports,2023-05-13,
